Problema,Conv Highs,Valor Highs,Iters Highs,Conv punto interior,Valor punto interior,Iters punto interior
agg2,True,-20239252.35597711,534,True,-20239252.35597711,125
beaconfd,True,33592.4858072,48,True,33592.48580720008,59
brandy,True,1518.5098964881279,187,True,1518.5098964884037,97
e226,True,-18.75192906637055,338,True,-18.751929066029405,53
israel,True,-896644.821863046,240,True,-896644.8218630457,1268
